lan,year,ant_kon_ans
stockholms_lan,2003,
stockholms_lan,2004,
stockholms_lan,2005,
stockholms_lan,2006,
stockholms_lan,2007,
stockholms_lan,2008,
stockholms_lan,2009,9379
stockholms_lan,2010,5306
stockholms_lan,2011,6246
stockholms_lan,2012,8947
stockholms_lan,2013,7248
stockholms_lan,2014,5710
stockholms_lan,2015,4131
stockholms_lan,2016,5174
stockholms_lan,2017,5532
stockholms_lan,2018,6151
stockholms_lan,2019,8599
stockholms_lan,2020,8471
stockholms_lan,2021,3773
stockholms_lan,2022,5224
stockholms_lan,2023,7472
uppsala_lan,2003,
uppsala_lan,2004,
uppsala_lan,2005,
uppsala_lan,2006,
uppsala_lan,2007,
uppsala_lan,2008,
uppsala_lan,2009,430
uppsala_lan,2010,544
uppsala_lan,2011,530
uppsala_lan,2012,769
uppsala_lan,2013,826
uppsala_lan,2014,423
uppsala_lan,2015,465
uppsala_lan,2016,422
uppsala_lan,2017,418
uppsala_lan,2018,655
uppsala_lan,2019,560
uppsala_lan,2020,910
uppsala_lan,2021,218
uppsala_lan,2022,433
uppsala_lan,2023,1078
sodermansland_lan,2003,
sodermansland_lan,2004,
sodermansland_lan,2005,
sodermansland_lan,2006,
sodermansland_lan,2007,
sodermansland_lan,2008,
sodermansland_lan,2009,576
sodermansland_lan,2010,625
sodermansland_lan,2011,334
sodermansland_lan,2012,839
sodermansland_lan,2013,412
sodermansland_lan,2014,369
sodermansland_lan,2015,235
sodermansland_lan,2016,525
sodermansland_lan,2017,434
sodermansland_lan,2018,682
sodermansland_lan,2019,471
sodermansland_lan,2020,365
sodermansland_lan,2021,151
sodermansland_lan,2022,255
sodermansland_lan,2023,451
ostergotlands_lan,2003,
ostergotlands_lan,2004,
ostergotlands_lan,2005,
ostergotlands_lan,2006,
ostergotlands_lan,2007,
ostergotlands_lan,2008,
ostergotlands_lan,2009,1339
ostergotlands_lan,2010,705
ostergotlands_lan,2011,521
ostergotlands_lan,2012,980
ostergotlands_lan,2013,966
ostergotlands_lan,2014,780
ostergotlands_lan,2015,581
ostergotlands_lan,2016,406
ostergotlands_lan,2017,604
ostergotlands_lan,2018,692
ostergotlands_lan,2019,1273
ostergotlands_lan,2020,759
ostergotlands_lan,2021,263
ostergotlands_lan,2022,543
ostergotlands_lan,2023,868
jonkopings_lan,2003,
jonkopings_lan,2004,
jonkopings_lan,2005,
jonkopings_lan,2006,
jonkopings_lan,2007,
jonkopings_lan,2008,
jonkopings_lan,2009,1096
jonkopings_lan,2010,617
jonkopings_lan,2011,420
jonkopings_lan,2012,509
jonkopings_lan,2013,1353
jonkopings_lan,2014,372
jonkopings_lan,2015,285
jonkopings_lan,2016,342
jonkopings_lan,2017,339
jonkopings_lan,2018,299
jonkopings_lan,2019,381
jonkopings_lan,2020,609
jonkopings_lan,2021,426
jonkopings_lan,2022,305
jonkopings_lan,2023,506
kronobergs_lan,2003,
kronobergs_lan,2004,
kronobergs_lan,2005,
kronobergs_lan,2006,
kronobergs_lan,2007,
kronobergs_lan,2008,
kronobergs_lan,2009,620
kronobergs_lan,2010,512
kronobergs_lan,2011,282
kronobergs_lan,2012,715
kronobergs_lan,2013,643
kronobergs_lan,2014,342
kronobergs_lan,2015,201
kronobergs_lan,2016,133
kronobergs_lan,2017,188
kronobergs_lan,2018,261
kronobergs_lan,2019,299
kronobergs_lan,2020,432
kronobergs_lan,2021,229
kronobergs_lan,2022,274
kronobergs_lan,2023,499
kalmar_lan,2003,
kalmar_lan,2004,
kalmar_lan,2005,
kalmar_lan,2006,
kalmar_lan,2007,
kalmar_lan,2008,
kalmar_lan,2009,390
kalmar_lan,2010,469
kalmar_lan,2011,253
kalmar_lan,2012,655
kalmar_lan,2013,391
kalmar_lan,2014,367
kalmar_lan,2015,363
kalmar_lan,2016,276
kalmar_lan,2017,198
kalmar_lan,2018,369
kalmar_lan,2019,496
kalmar_lan,2020,373
kalmar_lan,2021,227
kalmar_lan,2022,379
kalmar_lan,2023,275
gotlands_lan,2003,
gotlands_lan,2004,
gotlands_lan,2005,
gotlands_lan,2006,
gotlands_lan,2007,
gotlands_lan,2008,
gotlands_lan,2009,92
gotlands_lan,2010,67
gotlands_lan,2011,18
gotlands_lan,2012,57
gotlands_lan,2013,109
gotlands_lan,2014,17
gotlands_lan,2015,97
gotlands_lan,2016,109
gotlands_lan,2017,117
gotlands_lan,2018,48
gotlands_lan,2019,96
gotlands_lan,2020,26
gotlands_lan,2021,22
gotlands_lan,2022,17
gotlands_lan,2023,36
blekinge_lan,2003,
blekinge_lan,2004,
blekinge_lan,2005,
blekinge_lan,2006,
blekinge_lan,2007,
blekinge_lan,2008,
blekinge_lan,2009,606
blekinge_lan,2010,213
blekinge_lan,2011,372
blekinge_lan,2012,327
blekinge_lan,2013,270
blekinge_lan,2014,111
blekinge_lan,2015,126
blekinge_lan,2016,197
blekinge_lan,2017,216
blekinge_lan,2018,245
blekinge_lan,2019,367
blekinge_lan,2020,95
blekinge_lan,2021,65
blekinge_lan,2022,188
blekinge_lan,2023,190
skane_lan,2003,
skane_lan,2004,
skane_lan,2005,
skane_lan,2006,
skane_lan,2007,
skane_lan,2008,
skane_lan,2009,3376
skane_lan,2010,3139
skane_lan,2011,2480
skane_lan,2012,3906
skane_lan,2013,4014
skane_lan,2014,3012
skane_lan,2015,2142
skane_lan,2016,2311
skane_lan,2017,2284
skane_lan,2018,2789
skane_lan,2019,3144
skane_lan,2020,3478
skane_lan,2021,1481
skane_lan,2022,1754
skane_lan,2023,2621
hallands_lan,2003,
hallands_lan,2004,
hallands_lan,2005,
hallands_lan,2006,
hallands_lan,2007,
hallands_lan,2008,
hallands_lan,2009,367
hallands_lan,2010,590
