lan,year,fora_bio_tja
stockholms_lan,2003,
stockholms_lan,2004,
stockholms_lan,2005,
stockholms_lan,2006,
stockholms_lan,2007,
stockholms_lan,2008,1532.198
stockholms_lan,2009,1515.875
stockholms_lan,2010,1635.182
stockholms_lan,2011,1787.081
stockholms_lan,2012,1839.94
stockholms_lan,2013,1948.275
stockholms_lan,2014,2062.758
stockholms_lan,2015,2205.977
stockholms_lan,2016,2382.52
stockholms_lan,2017,2455.469
stockholms_lan,2018,2577.412
stockholms_lan,2019,2659.167
stockholms_lan,2020,
stockholms_lan,2021,
stockholms_lan,2022,
stockholms_lan,2023,
uppsala_lan,2003,
uppsala_lan,2004,
uppsala_lan,2005,
uppsala_lan,2006,
uppsala_lan,2007,
uppsala_lan,2008,93.982
uppsala_lan,2009,100.604
uppsala_lan,2010,107.722
uppsala_lan,2011,115.975
uppsala_lan,2012,119.801
uppsala_lan,2013,131.607
uppsala_lan,2014,130.146
uppsala_lan,2015,151.311
uppsala_lan,2016,162.742
uppsala_lan,2017,173.05
uppsala_lan,2018,201.162
uppsala_lan,2019,205.773
uppsala_lan,2020,
uppsala_lan,2021,
uppsala_lan,2022,
uppsala_lan,2023,
sodermansland_lan,2003,
sodermansland_lan,2004,
sodermansland_lan,2005,
sodermansland_lan,2006,
sodermansland_lan,2007,
sodermansland_lan,2008,61.54
sodermansland_lan,2009,59.28
sodermansland_lan,2010,76.559
sodermansland_lan,2011,86.228
sodermansland_lan,2012,89.767
sodermansland_lan,2013,90.916
sodermansland_lan,2014,92.65
sodermansland_lan,2015,106.953
sodermansland_lan,2016,109.101
sodermansland_lan,2017,114.611
sodermansland_lan,2018,120.424
sodermansland_lan,2019,123.535
sodermansland_lan,2020,
sodermansland_lan,2021,
sodermansland_lan,2022,
sodermansland_lan,2023,
ostergotlands_lan,2003,
ostergotlands_lan,2004,
ostergotlands_lan,2005,
ostergotlands_lan,2006,
ostergotlands_lan,2007,
ostergotlands_lan,2008,163.005
ostergotlands_lan,2009,160.931
ostergotlands_lan,2010,176.565
ostergotlands_lan,2011,185.73
ostergotlands_lan,2012,193.923
ostergotlands_lan,2013,196.437
ostergotlands_lan,2014,200.109
ostergotlands_lan,2015,226.981
ostergotlands_lan,2016,251.006
ostergotlands_lan,2017,271.375
ostergotlands_lan,2018,275.644
ostergotlands_lan,2019,282.488
ostergotlands_lan,2020,
ostergotlands_lan,2021,
ostergotlands_lan,2022,
ostergotlands_lan,2023,
jonkopings_lan,2003,
jonkopings_lan,2004,
jonkopings_lan,2005,
jonkopings_lan,2006,
jonkopings_lan,2007,
jonkopings_lan,2008,80.824
jonkopings_lan,2009,76.454
jonkopings_lan,2010,88.501
jonkopings_lan,2011,101.617
jonkopings_lan,2012,100.819
jonkopings_lan,2013,108.215
jonkopings_lan,2014,115.535
jonkopings_lan,2015,129.065
jonkopings_lan,2016,144.506
jonkopings_lan,2017,159.524
jonkopings_lan,2018,167.477
jonkopings_lan,2019,171.065
jonkopings_lan,2020,
jonkopings_lan,2021,
jonkopings_lan,2022,
jonkopings_lan,2023,
kronobergs_lan,2003,
kronobergs_lan,2004,
kronobergs_lan,2005,
kronobergs_lan,2006,
kronobergs_lan,2007,
kronobergs_lan,2008,46.42
kronobergs_lan,2009,39.555
kronobergs_lan,2010,42.55
kronobergs_lan,2011,48.656
kronobergs_lan,2012,47.681
kronobergs_lan,2013,52.533
kronobergs_lan,2014,57.019
kronobergs_lan,2015,65.261
kronobergs_lan,2016,67.839
kronobergs_lan,2017,70.206
kronobergs_lan,2018,78.951
kronobergs_lan,2019,81.099
kronobergs_lan,2020,
kronobergs_lan,2021,
kronobergs_lan,2022,
kronobergs_lan,2023,
kalmar_lan,2003,
kalmar_lan,2004,
kalmar_lan,2005,
kalmar_lan,2006,
kalmar_lan,2007,
kalmar_lan,2008,61.044
kalmar_lan,2009,61.38
kalmar_lan,2010,63.232
kalmar_lan,2011,63.495
kalmar_lan,2012,63.877
kalmar_lan,2013,67.045
kalmar_lan,2014,81.723
kalmar_lan,2015,88.89
kalmar_lan,2016,95.348
kalmar_lan,2017,98.836
kalmar_lan,2018,106.14
kalmar_lan,2019,108.913
kalmar_lan,2020,
kalmar_lan,2021,
kalmar_lan,2022,
kalmar_lan,2023,
gotlands_lan,2003,
gotlands_lan,2004,
gotlands_lan,2005,
gotlands_lan,2006,
gotlands_lan,2007,
gotlands_lan,2008,26.252
gotlands_lan,2009,27.521
gotlands_lan,2010,31.633
gotlands_lan,2011,34.738
gotlands_lan,2012,35.238
gotlands_lan,2013,35.48
gotlands_lan,2014,35.963
gotlands_lan,2015,36.84
gotlands_lan,2016,38.587
gotlands_lan,2017,40.435
gotlands_lan,2018,39.186
gotlands_lan,2019,42.071
gotlands_lan,2020,
gotlands_lan,2021,
gotlands_lan,2022,
gotlands_lan,2023,
blekinge_lan,2003,
blekinge_lan,2004,
blekinge_lan,2005,
blekinge_lan,2006,
blekinge_lan,2007,
blekinge_lan,2008,41.159
blekinge_lan,2009,36.16
blekinge_lan,2010,41.902
blekinge_lan,2011,46.965
blekinge_lan,2012,45.051
blekinge_lan,2013,46.75
blekinge_lan,2014,44.455
blekinge_lan,2015,54.38
blekinge_lan,2016,57.388
blekinge_lan,2017,63.724
blekinge_lan,2018,69.129
blekinge_lan,2019,71.45
blekinge_lan,2020,
blekinge_lan,2021,
blekinge_lan,2022,
blekinge_lan,2023,
skane_lan,2003,
skane_lan,2004,
skane_lan,2005,
skane_lan,2006,
skane_lan,2007,
skane_lan,2008,422.288
skane_lan,2009,389.784
skane_lan,2010,476.744
skane_lan,2011,500.086
skane_lan,2012,511.943
skane_lan,2013,535.35
skane_lan,2014,547.442
skane_lan,2015,601.964
