lan,year,foradl
riket,2003,68932
riket,2004,78208
riket,2005,80752
riket,2006,90058
riket,2007,105216
riket,2008,117428
riket,2009,111054
riket,2010,114463
riket,2011,133405
riket,2012,141337
riket,2013,134161
riket,2014,141381
riket,2015,148247
riket,2016,155105
riket,2017,169694
riket,2018,176805
riket,2019,199256
riket,2020,201462
riket,2021,224869
riket,2022,
riket,2023,
stockholms_lan,2003,14173
stockholms_lan,2004,16143
stockholms_lan,2005,17317
stockholms_lan,2006,18500
stockholms_lan,2007,21092
stockholms_lan,2008,24254
stockholms_lan,2009,23521
stockholms_lan,2010,22691
stockholms_lan,2011,27882
stockholms_lan,2012,29453
stockholms_lan,2013,28993
stockholms_lan,2014,30140
stockholms_lan,2015,32450
stockholms_lan,2016,34398
stockholms_lan,2017,40633
stockholms_lan,2018,40600
stockholms_lan,2019,53167
stockholms_lan,2020,53045
stockholms_lan,2021,56869
stockholms_lan,2022,
stockholms_lan,2023,
uppsala_lan,2003,1410
uppsala_lan,2004,1615
uppsala_lan,2005,1813
uppsala_lan,2006,2028
uppsala_lan,2007,2526
uppsala_lan,2008,3039
uppsala_lan,2009,3233
uppsala_lan,2010,3728
uppsala_lan,2011,5935
uppsala_lan,2012,10075
uppsala_lan,2013,7459
uppsala_lan,2014,7089
uppsala_lan,2015,6247
uppsala_lan,2016,6461
uppsala_lan,2017,5756
uppsala_lan,2018,5381
uppsala_lan,2019,7269
uppsala_lan,2020,7390
uppsala_lan,2021,8098
uppsala_lan,2022,
uppsala_lan,2023,
sodermansland_lan,2003,1950
sodermansland_lan,2004,2552
sodermansland_lan,2005,2660
sodermansland_lan,2006,2593
sodermansland_lan,2007,3158
sodermansland_lan,2008,3749
sodermansland_lan,2009,3151
sodermansland_lan,2010,3240
sodermansland_lan,2011,3203
sodermansland_lan,2012,3556
sodermansland_lan,2013,3581
sodermansland_lan,2014,3434
sodermansland_lan,2015,3597
sodermansland_lan,2016,3659
sodermansland_lan,2017,3588
sodermansland_lan,2018,3793
sodermansland_lan,2019,4091
sodermansland_lan,2020,4382
sodermansland_lan,2021,4588
sodermansland_lan,2022,
sodermansland_lan,2023,
ostergotlands_lan,2003,2847
ostergotlands_lan,2004,3017
ostergotlands_lan,2005,3493
ostergotlands_lan,2006,3691
ostergotlands_lan,2007,4263
ostergotlands_lan,2008,4527
ostergotlands_lan,2009,4885
ostergotlands_lan,2010,5343
ostergotlands_lan,2011,5882
ostergotlands_lan,2012,6080
ostergotlands_lan,2013,5899
ostergotlands_lan,2014,6056
ostergotlands_lan,2015,6747
ostergotlands_lan,2016,7388
ostergotlands_lan,2017,7551
ostergotlands_lan,2018,7226
ostergotlands_lan,2019,7806
ostergotlands_lan,2020,8174
ostergotlands_lan,2021,9894
ostergotlands_lan,2022,
ostergotlands_lan,2023,
jonkopings_lan,2003,2508
jonkopings_lan,2004,2764
jonkopings_lan,2005,2529
jonkopings_lan,2006,3142
jonkopings_lan,2007,3678
jonkopings_lan,2008,3782
jonkopings_lan,2009,3285
jonkopings_lan,2010,3875
jonkopings_lan,2011,4256
jonkopings_lan,2012,3850
jonkopings_lan,2013,3823
