lan,year,forv_bio
stockholms_lan,2003,
stockholms_lan,2004,
stockholms_lan,2005,
stockholms_lan,2006,
stockholms_lan,2007,
stockholms_lan,2008,40536.937
stockholms_lan,2009,40740.453
stockholms_lan,2010,42828.923
stockholms_lan,2011,42429.314
stockholms_lan,2012,42408.809
stockholms_lan,2013,41219.07
stockholms_lan,2014,41057.413
stockholms_lan,2015,41990.786
stockholms_lan,2016,43101.604
stockholms_lan,2017,43549.694
stockholms_lan,2018,42600.431
stockholms_lan,2019,43362.089
stockholms_lan,2020,
stockholms_lan,2021,
stockholms_lan,2022,
stockholms_lan,2023,
uppsala_lan,2003,
uppsala_lan,2004,
uppsala_lan,2005,
uppsala_lan,2006,
uppsala_lan,2007,
uppsala_lan,2008,8920.077
uppsala_lan,2009,8690.847
uppsala_lan,2010,9026.826
uppsala_lan,2011,9281.265
uppsala_lan,2012,9526.095
uppsala_lan,2013,9406.907
uppsala_lan,2014,9350.579
uppsala_lan,2015,9390.967
uppsala_lan,2016,9501.027
uppsala_lan,2017,9543.48
uppsala_lan,2018,9333.892
uppsala_lan,2019,9694.89
uppsala_lan,2020,
uppsala_lan,2021,
uppsala_lan,2022,
uppsala_lan,2023,
sodermansland_lan,2003,
sodermansland_lan,2004,
sodermansland_lan,2005,
sodermansland_lan,2006,
sodermansland_lan,2007,
sodermansland_lan,2008,8305.793
sodermansland_lan,2009,7926.687
sodermansland_lan,2010,8287.12
sodermansland_lan,2011,8566.602
sodermansland_lan,2012,8353.033
sodermansland_lan,2013,8220.543
sodermansland_lan,2014,8158.934
sodermansland_lan,2015,8036.57
sodermansland_lan,2016,8095.153
sodermansland_lan,2017,8203.915
sodermansland_lan,2018,8024.837
sodermansland_lan,2019,8288.142
sodermansland_lan,2020,
sodermansland_lan,2021,
sodermansland_lan,2022,
sodermansland_lan,2023,
ostergotlands_lan,2003,
ostergotlands_lan,2004,
ostergotlands_lan,2005,
ostergotlands_lan,2006,
ostergotlands_lan,2007,
ostergotlands_lan,2008,16339.116
ostergotlands_lan,2009,15953.048
ostergotlands_lan,2010,16597.617
ostergotlands_lan,2011,17059.908
ostergotlands_lan,2012,16808.702
ostergotlands_lan,2013,16358.027
ostergotlands_lan,2014,16359.018
ostergotlands_lan,2015,16446.651
ostergotlands_lan,2016,16790.814
ostergotlands_lan,2017,16804.239
ostergotlands_lan,2018,16672.349
ostergotlands_lan,2019,16698.757
ostergotlands_lan,2020,
ostergotlands_lan,2021,
ostergotlands_lan,2022,
ostergotlands_lan,2023,
jonkopings_lan,2003,
jonkopings_lan,2004,
jonkopings_lan,2005,
jonkopings_lan,2006,
jonkopings_lan,2007,
jonkopings_lan,2008,18061.875
jonkopings_lan,2009,17145.642
jonkopings_lan,2010,17565.207
jonkopings_lan,2011,18326.912
jonkopings_lan,2012,18052.162
jonkopings_lan,2013,17773.459
jonkopings_lan,2014,17824.464
jonkopings_lan,2015,18345.43
jonkopings_lan,2016,18561.752
jonkopings_lan,2017,18889.061
jonkopings_lan,2018,18598.957
jonkopings_lan,2019,18572.161
jonkopings_lan,2020,
jonkopings_lan,2021,
jonkopings_lan,2022,
jonkopings_lan,2023,
kronobergs_lan,2003,
kronobergs_lan,2004,
kronobergs_lan,2005,
kronobergs_lan,2006,
kronobergs_lan,2007,
kronobergs_lan,2008,9748.964
kronobergs_lan,2009,9380.041
kronobergs_lan,2010,9684.113
kronobergs_lan,2011,10247.606
kronobergs_lan,2012,9857.323
kronobergs_lan,2013,9384.464
kronobergs_lan,2014,9378.946
kronobergs_lan,2015,9212.922
kronobergs_lan,2016,9217.597
kronobergs_lan,2017,9467.099
kronobergs_lan,2018,9130.635
kronobergs_lan,2019,9323.923
kronobergs_lan,2020,
kronobergs_lan,2021,
kronobergs_lan,2022,
kronobergs_lan,2023,
kalmar_lan,2003,
kalmar_lan,2004,
kalmar_lan,2005,
kalmar_lan,2006,
kalmar_lan,2007,
kalmar_lan,2008,13661.483
kalmar_lan,2009,13295.507
kalmar_lan,2010,13759.428
kalmar_lan,2011,14395.32
kalmar_lan,2012,14107.71
kalmar_lan,2013,13871.808
kalmar_lan,2014,14075.155
kalmar_lan,2015,14115.915
kalmar_lan,2016,13858.151
kalmar_lan,2017,14147.771
kalmar_lan,2018,13757.034
kalmar_lan,2019,13912.491
kalmar_lan,2020,
kalmar_lan,2021,
kalmar_lan,2022,
kalmar_lan,2023,
gotlands_lan,2003,
gotlands_lan,2004,
gotlands_lan,2005,
gotlands_lan,2006,
gotlands_lan,2007,
gotlands_lan,2008,2835.66
gotlands_lan,2009,2852.899
gotlands_lan,2010,3013.004
gotlands_lan,2011,3188.748
gotlands_lan,2012,3227.816
gotlands_lan,2013,3191.734
gotlands_lan,2014,3178.18
gotlands_lan,2015,3116.837
gotlands_lan,2016,3135.949
gotlands_lan,2017,3150.447
gotlands_lan,2018,3119.898
gotlands_lan,2019,2961.469
gotlands_lan,2020,
gotlands_lan,2021,
gotlands_lan,2022,
gotlands_lan,2023,
blekinge_lan,2003,
blekinge_lan,2004,
blekinge_lan,2005,
blekinge_lan,2006,
blekinge_lan,2007,
blekinge_lan,2008,6037.668
blekinge_lan,2009,5879.354
blekinge_lan,2010,6003.004
blekinge_lan,2011,6236.847
blekinge_lan,2012,5943.846
blekinge_lan,2013,5811.625
blekinge_lan,2014,5744.332
blekinge_lan,2015,5625.978
blekinge_lan,2016,5672.111
blekinge_lan,2017,5658.952
blekinge_lan,2018,5428.695
blekinge_lan,2019,5497.325
blekinge_lan,2020,
blekinge_lan,2021,
blekinge_lan,2022,
blekinge_lan,2023,
skane_lan,2003,
skane_lan,2004,
skane_lan,2005,
skane_lan,2006,
skane_lan,2007,
