lan,year,forv_bio_mark
stockholms_lan,2003,
stockholms_lan,2004,
stockholms_lan,2005,
stockholms_lan,2006,
stockholms_lan,2007,
stockholms_lan,2008,37189.58
stockholms_lan,2009,37425.55
stockholms_lan,2010,39300.15
stockholms_lan,2011,38749.42
stockholms_lan,2012,38548.16
stockholms_lan,2013,37246.01
stockholms_lan,2014,37004.34
stockholms_lan,2015,37807.93
stockholms_lan,2016,38799.31
stockholms_lan,2017,39160.8
stockholms_lan,2018,38206.44
stockholms_lan,2019,38790.88
stockholms_lan,2020,
stockholms_lan,2021,
stockholms_lan,2022,
stockholms_lan,2023,
uppsala_lan,2003,
uppsala_lan,2004,
uppsala_lan,2005,
uppsala_lan,2006,
uppsala_lan,2007,
uppsala_lan,2008,8608.92
uppsala_lan,2009,8379.32
uppsala_lan,2010,8701.47
uppsala_lan,2011,8933.49
uppsala_lan,2012,9176.86
uppsala_lan,2013,9043.89
uppsala_lan,2014,8986.24
uppsala_lan,2015,9009.98
uppsala_lan,2016,9104.56
uppsala_lan,2017,9133.74
uppsala_lan,2018,8927.05
uppsala_lan,2019,9265.11
uppsala_lan,2020,
uppsala_lan,2021,
uppsala_lan,2022,
uppsala_lan,2023,
sodermansland_lan,2003,
sodermansland_lan,2004,
sodermansland_lan,2005,
sodermansland_lan,2006,
sodermansland_lan,2007,
sodermansland_lan,2008,8077.12
sodermansland_lan,2009,7702.68
sodermansland_lan,2010,8032.09
sodermansland_lan,2011,8284.69
sodermansland_lan,2012,8061.3
sodermansland_lan,2013,7927.71
sodermansland_lan,2014,7867.56
sodermansland_lan,2015,7739.33
sodermansland_lan,2016,7790.28
sodermansland_lan,2017,7886.2
sodermansland_lan,2018,7701.74
sodermansland_lan,2019,7966.75
sodermansland_lan,2020,
sodermansland_lan,2021,
sodermansland_lan,2022,
sodermansland_lan,2023,
ostergotlands_lan,2003,
ostergotlands_lan,2004,
ostergotlands_lan,2005,
ostergotlands_lan,2006,
ostergotlands_lan,2007,
ostergotlands_lan,2008,15853.71
ostergotlands_lan,2009,15488
ostergotlands_lan,2010,16098.44
ostergotlands_lan,2011,16531.8
ostergotlands_lan,2012,16266.71
ostergotlands_lan,2013,15811.15
ostergotlands_lan,2014,15803.33
ostergotlands_lan,2015,15873.27
ostergotlands_lan,2016,16190.85
ostergotlands_lan,2017,16192.69
ostergotlands_lan,2018,16048.37
ostergotlands_lan,2019,16039.05
ostergotlands_lan,2020,
ostergotlands_lan,2021,
ostergotlands_lan,2022,
ostergotlands_lan,2023,
jonkopings_lan,2003,
jonkopings_lan,2004,
jonkopings_lan,2005,
jonkopings_lan,2006,
jonkopings_lan,2007,
jonkopings_lan,2008,17770.02
jonkopings_lan,2009,16873.37
jonkopings_lan,2010,17255.44
jonkopings_lan,2011,18002.64
jonkopings_lan,2012,17722.36
jonkopings_lan,2013,17429.39
jonkopings_lan,2014,17460.64
jonkopings_lan,2015,17961.8
jonkopings_lan,2016,18152.55
jonkopings_lan,2017,18465.39
jonkopings_lan,2018,18171.7
jonkopings_lan,2019,18143.27
jonkopings_lan,2020,
jonkopings_lan,2021,
jonkopings_lan,2022,
jonkopings_lan,2023,
kronobergs_lan,2003,
kronobergs_lan,2004,
kronobergs_lan,2005,
kronobergs_lan,2006,
kronobergs_lan,2007,
kronobergs_lan,2008,9587.2
kronobergs_lan,2009,9231.68
kronobergs_lan,2010,9522.39
kronobergs_lan,2011,10085.78
kronobergs_lan,2012,9693.97
kronobergs_lan,2013,9209.72
kronobergs_lan,2014,9201.2
kronobergs_lan,2015,9020.03
kronobergs_lan,2016,9020.48
kronobergs_lan,2017,9258.84
kronobergs_lan,2018,8914.92
kronobergs_lan,2019,9102.39
kronobergs_lan,2020,
kronobergs_lan,2021,
kronobergs_lan,2022,
kronobergs_lan,2023,
kalmar_lan,2003,
kalmar_lan,2004,
kalmar_lan,2005,
kalmar_lan,2006,
kalmar_lan,2007,
kalmar_lan,2008,13453.74
kalmar_lan,2009,13090.84
kalmar_lan,2010,13542
kalmar_lan,2011,14176.22
kalmar_lan,2012,13881.08
kalmar_lan,2013,13622.29
kalmar_lan,2014,13822.95
kalmar_lan,2015,13858.26
kalmar_lan,2016,13583.09
kalmar_lan,2017,13867.85
kalmar_lan,2018,13481.53
kalmar_lan,2019,13656
kalmar_lan,2020,
kalmar_lan,2021,
kalmar_lan,2022,
kalmar_lan,2023,
gotlands_lan,2003,
gotlands_lan,2004,
gotlands_lan,2005,
gotlands_lan,2006,
gotlands_lan,2007,
gotlands_lan,2008,2760.23
gotlands_lan,2009,2778.02
gotlands_lan,2010,2934.32
gotlands_lan,2011,3111.46
gotlands_lan,2012,3153.89
gotlands_lan,2013,3114.86
gotlands_lan,2014,3098.84
gotlands_lan,2015,3035.75
gotlands_lan,2016,3055.22
gotlands_lan,2017,3070.34
gotlands_lan,2018,3039.02
gotlands_lan,2019,2882.18
gotlands_lan,2020,
gotlands_lan,2021,
gotlands_lan,2022,
gotlands_lan,2023,
blekinge_lan,2003,
blekinge_lan,2004,
blekinge_lan,2005,
blekinge_lan,2006,
blekinge_lan,2007,
blekinge_lan,2008,5895.93
blekinge_lan,2009,5735.56
blekinge_lan,2010,5860.82
blekinge_lan,2011,6088.41
blekinge_lan,2012,5777.92
blekinge_lan,2013,5651.54
blekinge_lan,2014,5585.44
blekinge_lan,2015,5459.71
blekinge_lan,2016,5492.12
blekinge_lan,2017,5474.08
blekinge_lan,2018,5246.48
blekinge_lan,2019,5326.98
blekinge_lan,2020,
blekinge_lan,2021,
blekinge_lan,2022,
blekinge_lan,2023,
skane_lan,2003,
skane_lan,2004,
skane_lan,2005,
skane_lan,2006,
skane_lan,2007,
skane_lan,2008,46889.02
