lan,year,forv_bio_mark_kvn
stockholms_lan,2003,
stockholms_lan,2004,
stockholms_lan,2005,
stockholms_lan,2006,
stockholms_lan,2007,
stockholms_lan,2008,9442.03
stockholms_lan,2009,9501.75
stockholms_lan,2010,9795.78
stockholms_lan,2011,10059.07
stockholms_lan,2012,10064.95
stockholms_lan,2013,10048.93
stockholms_lan,2014,9944.56
stockholms_lan,2015,10164.75
stockholms_lan,2016,10428.03
stockholms_lan,2017,10513.04
stockholms_lan,2018,10432.26
stockholms_lan,2019,10771.76
stockholms_lan,2020,
stockholms_lan,2021,
stockholms_lan,2022,
stockholms_lan,2023,
uppsala_lan,2003,
uppsala_lan,2004,
uppsala_lan,2005,
uppsala_lan,2006,
uppsala_lan,2007,
uppsala_lan,2008,1712.78
uppsala_lan,2009,1657.2
uppsala_lan,2010,1705.35
uppsala_lan,2011,1838.11
uppsala_lan,2012,1984.57
uppsala_lan,2013,2008.75
uppsala_lan,2014,2012.15
uppsala_lan,2015,2025.86
uppsala_lan,2016,1985.68
uppsala_lan,2017,2032.07
uppsala_lan,2018,1977.71
uppsala_lan,2019,2115.44
uppsala_lan,2020,
uppsala_lan,2021,
uppsala_lan,2022,
uppsala_lan,2023,
sodermansland_lan,2003,
sodermansland_lan,2004,
sodermansland_lan,2005,
sodermansland_lan,2006,
sodermansland_lan,2007,
sodermansland_lan,2008,1887.12
sodermansland_lan,2009,1799.4
sodermansland_lan,2010,1858.6
sodermansland_lan,2011,1969.72
sodermansland_lan,2012,1882.13
sodermansland_lan,2013,1932.84
sodermansland_lan,2014,1948.86
sodermansland_lan,2015,1873.15
sodermansland_lan,2016,1863.99
sodermansland_lan,2017,1896.75
sodermansland_lan,2018,1860.38
sodermansland_lan,2019,1952.75
sodermansland_lan,2020,
sodermansland_lan,2021,
sodermansland_lan,2022,
sodermansland_lan,2023,
ostergotlands_lan,2003,
ostergotlands_lan,2004,
ostergotlands_lan,2005,
ostergotlands_lan,2006,
ostergotlands_lan,2007,
ostergotlands_lan,2008,3337.76
ostergotlands_lan,2009,3228.36
ostergotlands_lan,2010,3322.81
ostergotlands_lan,2011,3494.74
ostergotlands_lan,2012,3541.34
ostergotlands_lan,2013,3514.7
ostergotlands_lan,2014,3490.04
ostergotlands_lan,2015,3457.18
ostergotlands_lan,2016,3504.15
ostergotlands_lan,2017,3499.9
ostergotlands_lan,2018,3510.13
ostergotlands_lan,2019,3511.79
ostergotlands_lan,2020,
ostergotlands_lan,2021,
ostergotlands_lan,2022,
ostergotlands_lan,2023,
jonkopings_lan,2003,
jonkopings_lan,2004,
jonkopings_lan,2005,
jonkopings_lan,2006,
jonkopings_lan,2007,
jonkopings_lan,2008,4074.06
jonkopings_lan,2009,3829
jonkopings_lan,2010,3816.77
jonkopings_lan,2011,4225.69
jonkopings_lan,2012,4230.11
jonkopings_lan,2013,4210.18
jonkopings_lan,2014,4241.35
jonkopings_lan,2015,4326.33
jonkopings_lan,2016,4254.8
jonkopings_lan,2017,4373.44
jonkopings_lan,2018,4219.96
jonkopings_lan,2019,4370.46
jonkopings_lan,2020,
jonkopings_lan,2021,
jonkopings_lan,2022,
jonkopings_lan,2023,
kronobergs_lan,2003,
kronobergs_lan,2004,
kronobergs_lan,2005,
kronobergs_lan,2006,
kronobergs_lan,2007,
kronobergs_lan,2008,2151.74
kronobergs_lan,2009,2044.09
kronobergs_lan,2010,2105.5
kronobergs_lan,2011,2331.45
kronobergs_lan,2012,2171.52
kronobergs_lan,2013,2070.88
kronobergs_lan,2014,2071.15
kronobergs_lan,2015,1969.82
kronobergs_lan,2016,1916.35
kronobergs_lan,2017,1990.51
kronobergs_lan,2018,1888.1
kronobergs_lan,2019,2003.95
kronobergs_lan,2020,
kronobergs_lan,2021,
kronobergs_lan,2022,
kronobergs_lan,2023,
kalmar_lan,2003,
kalmar_lan,2004,
kalmar_lan,2005,
kalmar_lan,2006,
kalmar_lan,2007,
kalmar_lan,2008,2866.96
kalmar_lan,2009,2758.37
kalmar_lan,2010,2833.8
kalmar_lan,2011,3091.42
kalmar_lan,2012,3069.62
kalmar_lan,2013,3064.05
kalmar_lan,2014,3079.99
kalmar_lan,2015,3020.5
kalmar_lan,2016,2922.64
kalmar_lan,2017,3105.12
kalmar_lan,2018,2975.86
kalmar_lan,2019,3029.98
kalmar_lan,2020,
kalmar_lan,2021,
kalmar_lan,2022,
kalmar_lan,2023,
gotlands_lan,2003,
gotlands_lan,2004,
gotlands_lan,2005,
gotlands_lan,2006,
gotlands_lan,2007,
gotlands_lan,2008,489.66
gotlands_lan,2009,513.98
gotlands_lan,2010,556.01
gotlands_lan,2011,600.18
gotlands_lan,2012,623.55
gotlands_lan,2013,633.44
gotlands_lan,2014,646.59
gotlands_lan,2015,613.26
gotlands_lan,2016,612.73
gotlands_lan,2017,611.01
gotlands_lan,2018,631.39
gotlands_lan,2019,586.51
gotlands_lan,2020,
gotlands_lan,2021,
gotlands_lan,2022,
gotlands_lan,2023,
blekinge_lan,2003,
blekinge_lan,2004,
blekinge_lan,2005,
blekinge_lan,2006,
blekinge_lan,2007,
blekinge_lan,2008,1190.13
blekinge_lan,2009,1172.12
blekinge_lan,2010,1198.74
blekinge_lan,2011,1286.13
blekinge_lan,2012,1251.4
blekinge_lan,2013,1244.72
blekinge_lan,2014,1224.24
blekinge_lan,2015,1206.2
blekinge_lan,2016,1165.04
blekinge_lan,2017,1159.14
blekinge_lan,2018,1097.91
blekinge_lan,2019,1131.74
blekinge_lan,2020,
blekinge_lan,2021,
blekinge_lan,2022,
blekinge_lan,2023,
skane_lan,2003,
skane_lan,2004,
skane_lan,2005,
skane_lan,2006,
skane_lan,2007,
skane_lan,2008,12138.81
