lan,year,forv_bio_tja
stockholms_lan,2003,
stockholms_lan,2004,
stockholms_lan,2005,
stockholms_lan,2006,
stockholms_lan,2007,
stockholms_lan,2008,3347.357
stockholms_lan,2009,3314.903
stockholms_lan,2010,3528.773
stockholms_lan,2011,3679.894
stockholms_lan,2012,3860.649
stockholms_lan,2013,3973.06
stockholms_lan,2014,4053.073
stockholms_lan,2015,4182.856
stockholms_lan,2016,4302.294
stockholms_lan,2017,4388.894
stockholms_lan,2018,4393.991
stockholms_lan,2019,4571.209
stockholms_lan,2020,
stockholms_lan,2021,
stockholms_lan,2022,
stockholms_lan,2023,
uppsala_lan,2003,
uppsala_lan,2004,
uppsala_lan,2005,
uppsala_lan,2006,
uppsala_lan,2007,
uppsala_lan,2008,311.157
uppsala_lan,2009,311.527
uppsala_lan,2010,325.356
uppsala_lan,2011,347.775
uppsala_lan,2012,349.235
uppsala_lan,2013,363.017
uppsala_lan,2014,364.339
uppsala_lan,2015,380.987
uppsala_lan,2016,396.467
uppsala_lan,2017,409.74
uppsala_lan,2018,406.842
uppsala_lan,2019,429.78
uppsala_lan,2020,
uppsala_lan,2021,
uppsala_lan,2022,
uppsala_lan,2023,
sodermansland_lan,2003,
sodermansland_lan,2004,
sodermansland_lan,2005,
sodermansland_lan,2006,
sodermansland_lan,2007,
sodermansland_lan,2008,228.673
sodermansland_lan,2009,224.007
sodermansland_lan,2010,255.03
sodermansland_lan,2011,281.912
sodermansland_lan,2012,291.733
sodermansland_lan,2013,292.833
sodermansland_lan,2014,291.374
sodermansland_lan,2015,297.24
sodermansland_lan,2016,304.873
sodermansland_lan,2017,317.715
sodermansland_lan,2018,323.097
sodermansland_lan,2019,321.392
sodermansland_lan,2020,
sodermansland_lan,2021,
sodermansland_lan,2022,
sodermansland_lan,2023,
ostergotlands_lan,2003,
ostergotlands_lan,2004,
ostergotlands_lan,2005,
ostergotlands_lan,2006,
ostergotlands_lan,2007,
ostergotlands_lan,2008,485.406
ostergotlands_lan,2009,465.048
ostergotlands_lan,2010,499.177
ostergotlands_lan,2011,528.108
ostergotlands_lan,2012,541.992
ostergotlands_lan,2013,546.877
ostergotlands_lan,2014,555.688
ostergotlands_lan,2015,573.381
ostergotlands_lan,2016,599.964
ostergotlands_lan,2017,611.549
ostergotlands_lan,2018,623.979
ostergotlands_lan,2019,659.707
ostergotlands_lan,2020,
ostergotlands_lan,2021,
ostergotlands_lan,2022,
ostergotlands_lan,2023,
jonkopings_lan,2003,
jonkopings_lan,2004,
jonkopings_lan,2005,
jonkopings_lan,2006,
jonkopings_lan,2007,
jonkopings_lan,2008,291.855
jonkopings_lan,2009,272.272
jonkopings_lan,2010,309.767
jonkopings_lan,2011,324.272
jonkopings_lan,2012,329.802
jonkopings_lan,2013,344.069
jonkopings_lan,2014,363.824
jonkopings_lan,2015,383.63
jonkopings_lan,2016,409.202
jonkopings_lan,2017,423.671
jonkopings_lan,2018,427.257
jonkopings_lan,2019,428.891
jonkopings_lan,2020,
jonkopings_lan,2021,
jonkopings_lan,2022,
jonkopings_lan,2023,
kronobergs_lan,2003,
kronobergs_lan,2004,
kronobergs_lan,2005,
kronobergs_lan,2006,
kronobergs_lan,2007,
kronobergs_lan,2008,161.764
kronobergs_lan,2009,148.361
kronobergs_lan,2010,161.723
kronobergs_lan,2011,161.826
kronobergs_lan,2012,163.353
kronobergs_lan,2013,174.744
kronobergs_lan,2014,177.746
kronobergs_lan,2015,192.892
kronobergs_lan,2016,197.117
kronobergs_lan,2017,208.259
kronobergs_lan,2018,215.715
kronobergs_lan,2019,221.533
kronobergs_lan,2020,
kronobergs_lan,2021,
kronobergs_lan,2022,
kronobergs_lan,2023,
kalmar_lan,2003,
kalmar_lan,2004,
kalmar_lan,2005,
kalmar_lan,2006,
kalmar_lan,2007,
kalmar_lan,2008,207.743
kalmar_lan,2009,204.667
kalmar_lan,2010,217.428
kalmar_lan,2011,219.1
kalmar_lan,2012,226.63
kalmar_lan,2013,249.518
kalmar_lan,2014,252.205
kalmar_lan,2015,257.655
kalmar_lan,2016,275.061
kalmar_lan,2017,279.921
kalmar_lan,2018,275.504
kalmar_lan,2019,256.491
kalmar_lan,2020,
kalmar_lan,2021,
kalmar_lan,2022,
kalmar_lan,2023,
gotlands_lan,2003,
gotlands_lan,2004,
gotlands_lan,2005,
gotlands_lan,2006,
gotlands_lan,2007,
gotlands_lan,2008,75.43
gotlands_lan,2009,74.879
gotlands_lan,2010,78.684
gotlands_lan,2011,77.288
gotlands_lan,2012,73.926
gotlands_lan,2013,76.874
gotlands_lan,2014,79.34
gotlands_lan,2015,81.087
gotlands_lan,2016,80.729
gotlands_lan,2017,80.107
gotlands_lan,2018,80.878
gotlands_lan,2019,79.289
gotlands_lan,2020,
gotlands_lan,2021,
gotlands_lan,2022,
gotlands_lan,2023,
blekinge_lan,2003,
blekinge_lan,2004,
blekinge_lan,2005,
blekinge_lan,2006,
blekinge_lan,2007,
blekinge_lan,2008,141.738
blekinge_lan,2009,143.794
blekinge_lan,2010,142.184
blekinge_lan,2011,148.437
blekinge_lan,2012,165.926
blekinge_lan,2013,160.085
blekinge_lan,2014,158.892
blekinge_lan,2015,166.268
blekinge_lan,2016,179.991
blekinge_lan,2017,184.872
blekinge_lan,2018,182.215
blekinge_lan,2019,170.345
blekinge_lan,2020,
blekinge_lan,2021,
blekinge_lan,2022,
blekinge_lan,2023,
skane_lan,2003,
skane_lan,2004,
skane_lan,2005,
skane_lan,2006,
skane_lan,2007,
skane_lan,2008,1300.217
skane_lan,2009,1290.341
skane_lan,2010,1389.789
skane_lan,2011,1430.305
skane_lan,2012,1488.267
skane_lan,2013,1497.453
skane_lan,2014,1514.618
