lan,year,forv_bio_tja_kvn
stockholms_lan,2003,
stockholms_lan,2004,
stockholms_lan,2005,
stockholms_lan,2006,
stockholms_lan,2007,
stockholms_lan,2008,1620.627
stockholms_lan,2009,1592.898
stockholms_lan,2010,1690.117
stockholms_lan,2011,1749.256
stockholms_lan,2012,1846.764
stockholms_lan,2013,1883.02
stockholms_lan,2014,1923.09
stockholms_lan,2015,1979.095
stockholms_lan,2016,2043.527
stockholms_lan,2017,2071.51
stockholms_lan,2018,2063.754
stockholms_lan,2019,2174.331
stockholms_lan,2020,
stockholms_lan,2021,
stockholms_lan,2022,
stockholms_lan,2023,
uppsala_lan,2003,
uppsala_lan,2004,
uppsala_lan,2005,
uppsala_lan,2006,
uppsala_lan,2007,
uppsala_lan,2008,158.946
uppsala_lan,2009,159.636
uppsala_lan,2010,162.487
uppsala_lan,2011,169.401
uppsala_lan,2012,171.834
uppsala_lan,2013,175.036
uppsala_lan,2014,174.055
uppsala_lan,2015,180.239
uppsala_lan,2016,189.139
uppsala_lan,2017,190.76
uppsala_lan,2018,191.709
uppsala_lan,2019,207.721
uppsala_lan,2020,
uppsala_lan,2021,
uppsala_lan,2022,
uppsala_lan,2023,
sodermansland_lan,2003,
sodermansland_lan,2004,
sodermansland_lan,2005,
sodermansland_lan,2006,
sodermansland_lan,2007,
sodermansland_lan,2008,116.648
sodermansland_lan,2009,114.024
sodermansland_lan,2010,128.834
sodermansland_lan,2011,140.843
sodermansland_lan,2012,146.998
sodermansland_lan,2013,143.23
sodermansland_lan,2014,140.391
sodermansland_lan,2015,141.864
sodermansland_lan,2016,145.21
sodermansland_lan,2017,146.258
sodermansland_lan,2018,146.626
sodermansland_lan,2019,150.65
sodermansland_lan,2020,
sodermansland_lan,2021,
sodermansland_lan,2022,
sodermansland_lan,2023,
ostergotlands_lan,2003,
ostergotlands_lan,2004,
ostergotlands_lan,2005,
ostergotlands_lan,2006,
ostergotlands_lan,2007,
ostergotlands_lan,2008,243.853
ostergotlands_lan,2009,234.099
ostergotlands_lan,2010,250.357
ostergotlands_lan,2011,260.576
ostergotlands_lan,2012,267.018
ostergotlands_lan,2013,266.562
ostergotlands_lan,2014,268.642
ostergotlands_lan,2015,277.887
ostergotlands_lan,2016,289.164
ostergotlands_lan,2017,289.508
ostergotlands_lan,2018,291.413
ostergotlands_lan,2019,309.784
ostergotlands_lan,2020,
ostergotlands_lan,2021,
ostergotlands_lan,2022,
ostergotlands_lan,2023,
jonkopings_lan,2003,
jonkopings_lan,2004,
jonkopings_lan,2005,
jonkopings_lan,2006,
jonkopings_lan,2007,
jonkopings_lan,2008,154.432
jonkopings_lan,2009,145.709
jonkopings_lan,2010,157.336
jonkopings_lan,2011,159.617
jonkopings_lan,2012,164.413
jonkopings_lan,2013,170.629
jonkopings_lan,2014,178.262
jonkopings_lan,2015,185.7
jonkopings_lan,2016,192.365
jonkopings_lan,2017,195.431
jonkopings_lan,2018,195.286
jonkopings_lan,2019,202.68
jonkopings_lan,2020,
jonkopings_lan,2021,
jonkopings_lan,2022,
jonkopings_lan,2023,
kronobergs_lan,2003,
kronobergs_lan,2004,
kronobergs_lan,2005,
kronobergs_lan,2006,
kronobergs_lan,2007,
kronobergs_lan,2008,88.646
kronobergs_lan,2009,79.093
kronobergs_lan,2010,82.807
kronobergs_lan,2011,81.341
kronobergs_lan,2012,82.761
kronobergs_lan,2013,84.436
kronobergs_lan,2014,84.614
kronobergs_lan,2015,93.6
kronobergs_lan,2016,94.815
kronobergs_lan,2017,97.746
kronobergs_lan,2018,97.135
kronobergs_lan,2019,102.618
kronobergs_lan,2020,
kronobergs_lan,2021,
kronobergs_lan,2022,
kronobergs_lan,2023,
kalmar_lan,2003,
kalmar_lan,2004,
kalmar_lan,2005,
kalmar_lan,2006,
kalmar_lan,2007,
kalmar_lan,2008,107.758
kalmar_lan,2009,107.654
kalmar_lan,2010,114.457
kalmar_lan,2011,113.607
kalmar_lan,2012,114.414
kalmar_lan,2013,123.04
kalmar_lan,2014,123.065
kalmar_lan,2015,124.561
kalmar_lan,2016,128.797
kalmar_lan,2017,129.933
kalmar_lan,2018,129.538
kalmar_lan,2019,124.845
kalmar_lan,2020,
kalmar_lan,2021,
kalmar_lan,2022,
kalmar_lan,2023,
gotlands_lan,2003,
gotlands_lan,2004,
gotlands_lan,2005,
gotlands_lan,2006,
gotlands_lan,2007,
gotlands_lan,2008,37.266
gotlands_lan,2009,37.241
gotlands_lan,2010,38.744
gotlands_lan,2011,37.262
gotlands_lan,2012,37.253
gotlands_lan,2013,37.012
gotlands_lan,2014,38.148
gotlands_lan,2015,38.572
gotlands_lan,2016,38.829
gotlands_lan,2017,37.206
gotlands_lan,2018,37.322
gotlands_lan,2019,36.535
gotlands_lan,2020,
gotlands_lan,2021,
gotlands_lan,2022,
gotlands_lan,2023,
blekinge_lan,2003,
blekinge_lan,2004,
blekinge_lan,2005,
blekinge_lan,2006,
blekinge_lan,2007,
blekinge_lan,2008,69.955
blekinge_lan,2009,72.066
blekinge_lan,2010,72.139
blekinge_lan,2011,75.209
blekinge_lan,2012,86.732
blekinge_lan,2013,80.606
blekinge_lan,2014,81.757
blekinge_lan,2015,83.322
blekinge_lan,2016,89.054
blekinge_lan,2017,90.165
blekinge_lan,2018,87.412
blekinge_lan,2019,80.093
blekinge_lan,2020,
blekinge_lan,2021,
blekinge_lan,2022,
blekinge_lan,2023,
skane_lan,2003,
skane_lan,2004,
skane_lan,2005,
skane_lan,2006,
skane_lan,2007,
skane_lan,2008,634.919
skane_lan,2009,639.011
skane_lan,2010,685.845
skane_lan,2011,696.769
skane_lan,2012,730.129
skane_lan,2013,723.217
skane_lan,2014,725.044
