lan,year,forv_kvn_bio
stockholms_lan,2003,
stockholms_lan,2004,
stockholms_lan,2005,
stockholms_lan,2006,
stockholms_lan,2007,
stockholms_lan,2008,11062.657
stockholms_lan,2009,11094.648
stockholms_lan,2010,11485.897
stockholms_lan,2011,11808.326
stockholms_lan,2012,11911.714
stockholms_lan,2013,11931.95
stockholms_lan,2014,11867.65
stockholms_lan,2015,12143.845
stockholms_lan,2016,12471.557
stockholms_lan,2017,12584.55
stockholms_lan,2018,12496.014
stockholms_lan,2019,12946.091
stockholms_lan,2020,
stockholms_lan,2021,
stockholms_lan,2022,
stockholms_lan,2023,
uppsala_lan,2003,
uppsala_lan,2004,
uppsala_lan,2005,
uppsala_lan,2006,
uppsala_lan,2007,
uppsala_lan,2008,1871.726
uppsala_lan,2009,1816.836
uppsala_lan,2010,1867.837
uppsala_lan,2011,2007.511
uppsala_lan,2012,2156.404
uppsala_lan,2013,2183.786
uppsala_lan,2014,2186.205
uppsala_lan,2015,2206.099
uppsala_lan,2016,2174.819
uppsala_lan,2017,2222.83
uppsala_lan,2018,2169.419
uppsala_lan,2019,2323.161
uppsala_lan,2020,
uppsala_lan,2021,
uppsala_lan,2022,
uppsala_lan,2023,
sodermansland_lan,2003,
sodermansland_lan,2004,
sodermansland_lan,2005,
sodermansland_lan,2006,
sodermansland_lan,2007,
sodermansland_lan,2008,2003.768
sodermansland_lan,2009,1913.424
sodermansland_lan,2010,1987.434
sodermansland_lan,2011,2110.563
sodermansland_lan,2012,2029.128
sodermansland_lan,2013,2076.07
sodermansland_lan,2014,2089.251
sodermansland_lan,2015,2015.014
sodermansland_lan,2016,2009.2
sodermansland_lan,2017,2043.008
sodermansland_lan,2018,2007.006
sodermansland_lan,2019,2103.4
sodermansland_lan,2020,
sodermansland_lan,2021,
sodermansland_lan,2022,
sodermansland_lan,2023,
ostergotlands_lan,2003,
ostergotlands_lan,2004,
ostergotlands_lan,2005,
ostergotlands_lan,2006,
ostergotlands_lan,2007,
ostergotlands_lan,2008,3581.613
ostergotlands_lan,2009,3462.459
ostergotlands_lan,2010,3573.167
ostergotlands_lan,2011,3755.316
ostergotlands_lan,2012,3808.358
ostergotlands_lan,2013,3781.262
ostergotlands_lan,2014,3758.682
ostergotlands_lan,2015,3735.067
ostergotlands_lan,2016,3793.314
ostergotlands_lan,2017,3789.408
ostergotlands_lan,2018,3801.543
ostergotlands_lan,2019,3821.574
ostergotlands_lan,2020,
ostergotlands_lan,2021,
ostergotlands_lan,2022,
ostergotlands_lan,2023,
jonkopings_lan,2003,
jonkopings_lan,2004,
jonkopings_lan,2005,
jonkopings_lan,2006,
jonkopings_lan,2007,
jonkopings_lan,2008,4228.492
jonkopings_lan,2009,3974.709
jonkopings_lan,2010,3974.106
jonkopings_lan,2011,4385.307
jonkopings_lan,2012,4394.523
jonkopings_lan,2013,4380.809
jonkopings_lan,2014,4419.612
jonkopings_lan,2015,4512.03
jonkopings_lan,2016,4447.165
jonkopings_lan,2017,4568.871
jonkopings_lan,2018,4415.246
jonkopings_lan,2019,4573.14
jonkopings_lan,2020,
jonkopings_lan,2021,
jonkopings_lan,2022,
jonkopings_lan,2023,
kronobergs_lan,2003,
kronobergs_lan,2004,
kronobergs_lan,2005,
kronobergs_lan,2006,
kronobergs_lan,2007,
kronobergs_lan,2008,2240.386
kronobergs_lan,2009,2123.183
kronobergs_lan,2010,2188.307
kronobergs_lan,2011,2412.791
kronobergs_lan,2012,2254.281
kronobergs_lan,2013,2155.316
kronobergs_lan,2014,2155.764
kronobergs_lan,2015,2063.42
kronobergs_lan,2016,2011.165
kronobergs_lan,2017,2088.256
kronobergs_lan,2018,1985.235
kronobergs_lan,2019,2106.568
kronobergs_lan,2020,
kronobergs_lan,2021,
kronobergs_lan,2022,
kronobergs_lan,2023,
kalmar_lan,2003,
kalmar_lan,2004,
kalmar_lan,2005,
kalmar_lan,2006,
kalmar_lan,2007,
kalmar_lan,2008,2974.718
kalmar_lan,2009,2866.024
kalmar_lan,2010,2948.257
kalmar_lan,2011,3205.027
kalmar_lan,2012,3184.034
kalmar_lan,2013,3187.09
kalmar_lan,2014,3203.055
kalmar_lan,2015,3145.061
kalmar_lan,2016,3051.437
kalmar_lan,2017,3235.053
kalmar_lan,2018,3105.398
kalmar_lan,2019,3154.825
kalmar_lan,2020,
kalmar_lan,2021,
kalmar_lan,2022,
kalmar_lan,2023,
gotlands_lan,2003,
gotlands_lan,2004,
gotlands_lan,2005,
gotlands_lan,2006,
gotlands_lan,2007,
gotlands_lan,2008,526.926
gotlands_lan,2009,551.221
gotlands_lan,2010,594.754
gotlands_lan,2011,637.442
gotlands_lan,2012,660.803
gotlands_lan,2013,670.452
gotlands_lan,2014,684.738
gotlands_lan,2015,651.832
gotlands_lan,2016,651.559
gotlands_lan,2017,648.216
gotlands_lan,2018,668.712
gotlands_lan,2019,623.045
gotlands_lan,2020,
gotlands_lan,2021,
gotlands_lan,2022,
gotlands_lan,2023,
blekinge_lan,2003,
blekinge_lan,2004,
blekinge_lan,2005,
blekinge_lan,2006,
blekinge_lan,2007,
blekinge_lan,2008,1260.085
blekinge_lan,2009,1244.186
blekinge_lan,2010,1270.879
blekinge_lan,2011,1361.339
blekinge_lan,2012,1338.132
blekinge_lan,2013,1325.326
blekinge_lan,2014,1305.997
blekinge_lan,2015,1289.522
blekinge_lan,2016,1254.094
blekinge_lan,2017,1249.305
blekinge_lan,2018,1185.322
blekinge_lan,2019,1211.833
blekinge_lan,2020,
blekinge_lan,2021,
blekinge_lan,2022,
blekinge_lan,2023,
skane_lan,2003,
skane_lan,2004,
skane_lan,2005,
skane_lan,2006,
skane_lan,2007,
skane_lan,2008,12773.729
