lan,year,forv_mn_ant
riket,2003,51050
riket,2004,54713
riket,2005,57629
riket,2006,64286
riket,2007,70271
riket,2008,76262
riket,2009,75488
riket,2010,78875
riket,2011,86414
riket,2012,90753
riket,2013,91973
riket,2014,95915
riket,2015,101512
riket,2016,108680
riket,2017,114773
riket,2018,121600
riket,2019,123903
riket,2020,124302
riket,2021,130255
riket,2022,
riket,2023,
stockholms_lan,2003,9201
stockholms_lan,2004,10004
stockholms_lan,2005,10852
stockholms_lan,2006,12017
stockholms_lan,2007,13535
stockholms_lan,2008,14852
stockholms_lan,2009,14828
stockholms_lan,2010,15979
stockholms_lan,2011,17963
stockholms_lan,2012,19461
stockholms_lan,2013,20201
stockholms_lan,2014,21342
stockholms_lan,2015,22713
stockholms_lan,2016,24618
stockholms_lan,2017,26322
stockholms_lan,2018,28103
stockholms_lan,2019,28961
stockholms_lan,2020,29009
stockholms_lan,2021,30415
stockholms_lan,2022,
stockholms_lan,2023,
uppsala_lan,2003,1239
uppsala_lan,2004,1358
uppsala_lan,2005,1499
uppsala_lan,2006,1759
uppsala_lan,2007,1974
uppsala_lan,2008,2101
uppsala_lan,2009,2189
uppsala_lan,2010,2239
uppsala_lan,2011,2694
uppsala_lan,2012,3767
uppsala_lan,2013,3017
uppsala_lan,2014,3100
uppsala_lan,2015,3394
uppsala_lan,2016,3707
uppsala_lan,2017,3915
uppsala_lan,2018,4150
uppsala_lan,2019,4272
uppsala_lan,2020,4218
uppsala_lan,2021,4552
uppsala_lan,2022,
uppsala_lan,2023,
sodermansland_lan,2003,1500
sodermansland_lan,2004,1631
sodermansland_lan,2005,1743
sodermansland_lan,2006,1817
sodermansland_lan,2007,1944
sodermansland_lan,2008,2015
sodermansland_lan,2009,1921
sodermansland_lan,2010,2021
sodermansland_lan,2011,2271
sodermansland_lan,2012,2423
sodermansland_lan,2013,2435
sodermansland_lan,2014,2482
sodermansland_lan,2015,2621
sodermansland_lan,2016,2861
sodermansland_lan,2017,2952
sodermansland_lan,2018,3132
sodermansland_lan,2019,3082
sodermansland_lan,2020,3026
sodermansland_lan,2021,3117
sodermansland_lan,2022,
sodermansland_lan,2023,
ostergotlands_lan,2003,2369
ostergotlands_lan,2004,2589
ostergotlands_lan,2005,2745
ostergotlands_lan,2006,2974
ostergotlands_lan,2007,3254
ostergotlands_lan,2008,3432
ostergotlands_lan,2009,3455
ostergotlands_lan,2010,3691
ostergotlands_lan,2011,4061
ostergotlands_lan,2012,4117
ostergotlands_lan,2013,4195
ostergotlands_lan,2014,4294
ostergotlands_lan,2015,4506
ostergotlands_lan,2016,4936
ostergotlands_lan,2017,5077
ostergotlands_lan,2018,5295
ostergotlands_lan,2019,5456
ostergotlands_lan,2020,5427
ostergotlands_lan,2021,5691
ostergotlands_lan,2022,
ostergotlands_lan,2023,
jonkopings_lan,2003,2179
jonkopings_lan,2004,2329
jonkopings_lan,2005,2368
jonkopings_lan,2006,2704
jonkopings_lan,2007,2939
jonkopings_lan,2008,3154
jonkopings_lan,2009,2900
jonkopings_lan,2010,3098
jonkopings_lan,2011,3334
jonkopings_lan,2012,3360
jonkopings_lan,2013,3286
jonkopings_lan,2014,3404
jonkopings_lan,2015,3628
jonkopings_lan,2016,3720
jonkopings_lan,2017,3929
jonkopings_lan,2018,4179
jonkopings_lan,2019,4279
jonkopings_lan,2020,4420
jonkopings_lan,2021,4616
jonkopings_lan,2022,
jonkopings_lan,2023,
kronobergs_lan,2003,1605
kronobergs_lan,2004,1696
kronobergs_lan,2005,1779
kronobergs_lan,2006,1982
kronobergs_lan,2007,2083
kronobergs_lan,2008,2161
kronobergs_lan,2009,2035
kronobergs_lan,2010,2116
kronobergs_lan,2011,2251
kronobergs_lan,2012,2171
kronobergs_lan,2013,2182
kronobergs_lan,2014,2276
kronobergs_lan,2015,2471
kronobergs_lan,2016,2549
kronobergs_lan,2017,2671
kronobergs_lan,2018,2801
kronobergs_lan,2019,2900
kronobergs_lan,2020,2926
kronobergs_lan,2021,3080
kronobergs_lan,2022,
kronobergs_lan,2023,
kalmar_lan,2003,2556
kalmar_lan,2004,2584
kalmar_lan,2005,2609
kalmar_lan,2006,2819
kalmar_lan,2007,3089
kalmar_lan,2008,3289
kalmar_lan,2009,2987
kalmar_lan,2010,2745
kalmar_lan,2011,2958
kalmar_lan,2012,2871
kalmar_lan,2013,2790
kalmar_lan,2014,2890
kalmar_lan,2015,2885
kalmar_lan,2016,3092
kalmar_lan,2017,3176
kalmar_lan,2018,3336
kalmar_lan,2019,3294
kalmar_lan,2020,3347
kalmar_lan,2021,3388
kalmar_lan,2022,
kalmar_lan,2023,
gotlands_lan,2003,229
gotlands_lan,2004,246
gotlands_lan,2005,283
gotlands_lan,2006,308
gotlands_lan,2007,339
gotlands_lan,2008,387
gotlands_lan,2009,369
gotlands_lan,2010,392
gotlands_lan,2011,456
gotlands_lan,2012,500
gotlands_lan,2013,510
gotlands_lan,2014,498
gotlands_lan,2015,478
gotlands_lan,2016,601
gotlands_lan,2017,635
gotlands_lan,2018,677
gotlands_lan,2019,676
gotlands_lan,2020,677
gotlands_lan,2021,720
gotlands_lan,2022,
gotlands_lan,2023,
blekinge_lan,2003,946
blekinge_lan,2004,1033
blekinge_lan,2005,1000
blekinge_lan,2006,1080
blekinge_lan,2007,1219
blekinge_lan,2008,1260
blekinge_lan,2009,1182
blekinge_lan,2010,1245
blekinge_lan,2011,1273
blekinge_lan,2012,1338
blekinge_lan,2013,1343
blekinge_lan,2014,1360
blekinge_lan,2015,1408
blekinge_lan,2016,1466
blekinge_lan,2017,1407
blekinge_lan,2018,1545
blekinge_lan,2019,1610
blekinge_lan,2020,1603
blekinge_lan,2021,1694
blekinge_lan,2022,
blekinge_lan,2023,
skane_lan,2003,5659
skane_lan,2004,5986
skane_lan,2005,6416
skane_lan,2006,7351
skane_lan,2007,7858
skane_lan,2008,8700
skane_lan,2009,9218
skane_lan,2010,9612
skane_lan,2011,10339
skane_lan,2012,10718
skane_lan,2013,10897
skane_lan,2014,11283
skane_lan,2015,11736
skane_lan,2016,12767
skane_lan,2017,13664
skane_lan,2018,14370
skane_lan,2019,14445
skane_lan,2020,14510
skane_lan,2021,15355
skane_lan,2022,
skane_lan,2023,
hallands_lan,2003,1462
hallands_lan,2004,1566
hallands_lan,2005,1697
hallands_lan,2006,1810
hallands_lan,2007,2083
hallands_lan,2008,2177
hallands_lan,2009,2225
hallands_lan,2010,2263
hallands_lan,2011,2525
hallands_lan,2012,2638
hallands_lan,2013,2665
hallands_lan,2014,2735
hallands_lan,2015,3096
hallands_lan,2016,3358
hallands_lan,2017,3644
hallands_lan,2018,3924
hallands_lan,2019,4025
hallands_lan,2020,4056
hallands_lan,2021,4206
hallands_lan,2022,
hallands_lan,2023,
v_gotaland_lan,2003,7171
v_gotaland_lan,2004,7879
v_gotaland_lan,2005,8266
v_gotaland_lan,2006,9699
v_gotaland_lan,2007,10488
v_gotaland_lan,2008,11464
v_gotaland_lan,2009,11349
v_gotaland_lan,2010,11947
v_gotaland_lan,2011,13190
v_gotaland_lan,2012,13678
v_gotaland_lan,2013,14349
v_gotaland_lan,2014,15466
v_gotaland_lan,2015,16350
v_gotaland_lan,2016,17772
