lan,year,forv_tot
stockholms_lan,2003,
stockholms_lan,2004,
stockholms_lan,2005,
stockholms_lan,2006,
stockholms_lan,2007,
stockholms_lan,2008,2108510
stockholms_lan,2009,2086734
stockholms_lan,2010,2154832
stockholms_lan,2011,2211868
stockholms_lan,2012,2269140
stockholms_lan,2013,2305402
stockholms_lan,2014,2342490
stockholms_lan,2015,2393916
stockholms_lan,2016,2450638
stockholms_lan,2017,2499550
stockholms_lan,2018,2531602
stockholms_lan,2019,2577500
stockholms_lan,2020,2544839
stockholms_lan,2021,2631728
stockholms_lan,2022,2718254
stockholms_lan,2023,
uppsala_lan,2003,
uppsala_lan,2004,
uppsala_lan,2005,
uppsala_lan,2006,
uppsala_lan,2007,
uppsala_lan,2008,270404
uppsala_lan,2009,266700
uppsala_lan,2010,275836
uppsala_lan,2011,284624
uppsala_lan,2012,291674
uppsala_lan,2013,296338
uppsala_lan,2014,299198
uppsala_lan,2015,304824
uppsala_lan,2016,313312
uppsala_lan,2017,319802
uppsala_lan,2018,324508
uppsala_lan,2019,336236
uppsala_lan,2020,332776
uppsala_lan,2021,341874
uppsala_lan,2022,349776
uppsala_lan,2023,
sodermansland_lan,2003,
sodermansland_lan,2004,
sodermansland_lan,2005,
sodermansland_lan,2006,
sodermansland_lan,2007,
sodermansland_lan,2008,223140
sodermansland_lan,2009,213060
sodermansland_lan,2010,218314
sodermansland_lan,2011,224398
sodermansland_lan,2012,224822
sodermansland_lan,2013,227726
sodermansland_lan,2014,227590
sodermansland_lan,2015,229702
sodermansland_lan,2016,233212
sodermansland_lan,2017,237504
sodermansland_lan,2018,239642
sodermansland_lan,2019,244584
sodermansland_lan,2020,239383
sodermansland_lan,2021,246315
sodermansland_lan,2022,251585
sodermansland_lan,2023,
ostergotlands_lan,2003,
ostergotlands_lan,2004,
ostergotlands_lan,2005,
ostergotlands_lan,2006,
ostergotlands_lan,2007,
ostergotlands_lan,2008,380360
ostergotlands_lan,2009,370454
ostergotlands_lan,2010,378676
ostergotlands_lan,2011,387176
ostergotlands_lan,2012,391794
ostergotlands_lan,2013,397040
ostergotlands_lan,2014,400362
ostergotlands_lan,2015,407776
ostergotlands_lan,2016,418134
ostergotlands_lan,2017,425616
ostergotlands_lan,2018,431556
ostergotlands_lan,2019,442478
ostergotlands_lan,2020,438374
ostergotlands_lan,2021,449659
ostergotlands_lan,2022,457301
ostergotlands_lan,2023,
jonkopings_lan,2003,
jonkopings_lan,2004,
jonkopings_lan,2005,
jonkopings_lan,2006,
jonkopings_lan,2007,
jonkopings_lan,2008,336686
jonkopings_lan,2009,319470
jonkopings_lan,2010,329376
jonkopings_lan,2011,336706
jonkopings_lan,2012,337436
jonkopings_lan,2013,338346
jonkopings_lan,2014,340336
jonkopings_lan,2015,345706
jonkopings_lan,2016,354650
jonkopings_lan,2017,361760
jonkopings_lan,2018,366034
jonkopings_lan,2019,369620
jonkopings_lan,2020,364311
jonkopings_lan,2021,373819
jonkopings_lan,2022,380569
jonkopings_lan,2023,
kronobergs_lan,2003,
kronobergs_lan,2004,
kronobergs_lan,2005,
kronobergs_lan,2006,
kronobergs_lan,2007,
kronobergs_lan,2008,187980
kronobergs_lan,2009,179124
kronobergs_lan,2010,182508
kronobergs_lan,2011,186944
kronobergs_lan,2012,187292
kronobergs_lan,2013,186576
kronobergs_lan,2014,188684
kronobergs_lan,2015,191946
kronobergs_lan,2016,196216
kronobergs_lan,2017,201060
kronobergs_lan,2018,203314
kronobergs_lan,2019,206450
kronobergs_lan,2020,201565
kronobergs_lan,2021,207299
kronobergs_lan,2022,210566
kronobergs_lan,2023,
kalmar_lan,2003,
kalmar_lan,2004,
kalmar_lan,2005,
kalmar_lan,2006,
kalmar_lan,2007,
kalmar_lan,2008,213674
kalmar_lan,2009,206514
kalmar_lan,2010,211110
kalmar_lan,2011,214274
kalmar_lan,2012,213988
kalmar_lan,2013,214832
kalmar_lan,2014,215524
kalmar_lan,2015,216982
kalmar_lan,2016,221106
kalmar_lan,2017,223044
kalmar_lan,2018,223954
kalmar_lan,2019,226314
kalmar_lan,2020,224366
kalmar_lan,2021,229176
kalmar_lan,2022,231586
kalmar_lan,2023,
gotlands_lan,2003,
gotlands_lan,2004,
gotlands_lan,2005,
gotlands_lan,2006,
gotlands_lan,2007,
gotlands_lan,2008,51728
gotlands_lan,2009,51258
gotlands_lan,2010,52020
gotlands_lan,2011,53488
gotlands_lan,2012,53434
gotlands_lan,2013,53200
gotlands_lan,2014,53568
gotlands_lan,2015,54158
gotlands_lan,2016,54680
gotlands_lan,2017,55546
gotlands_lan,2018,56444
gotlands_lan,2019,56260
gotlands_lan,2020,55971
gotlands_lan,2021,57507
gotlands_lan,2022,57962
gotlands_lan,2023,
blekinge_lan,2003,
blekinge_lan,2004,
blekinge_lan,2005,
blekinge_lan,2006,
blekinge_lan,2007,
blekinge_lan,2008,137476
blekinge_lan,2009,131528
blekinge_lan,2010,133138
blekinge_lan,2011,135302
blekinge_lan,2012,134858
blekinge_lan,2013,135886
blekinge_lan,2014,136132
blekinge_lan,2015,137586
blekinge_lan,2016,141846
blekinge_lan,2017,144600
blekinge_lan,2018,144222
blekinge_lan,2019,143988
blekinge_lan,2020,141792
blekinge_lan,2021,143739
blekinge_lan,2022,145623
blekinge_lan,2023,
skane_lan,2003,
skane_lan,2004,
skane_lan,2005,
skane_lan,2006,
skane_lan,2007,
skane_lan,2008,1073378
skane_lan,2009,1047136
skane_lan,2010,1075188
skane_lan,2011,1100154
skane_lan,2012,1111810
skane_lan,2013,1121060
skane_lan,2014,1131120
skane_lan,2015,1151644
skane_lan,2016,1177632
skane_lan,2017,1198210
skane_lan,2018,1215098
skane_lan,2019,1247466
