lan,year,netto_bio_mark
stockholms_lan,2003,
stockholms_lan,2004,
stockholms_lan,2005,
stockholms_lan,2006,
stockholms_lan,2007,
stockholms_lan,2008,101572.60194
stockholms_lan,2009,105708.96212
stockholms_lan,2010,115025.66594
stockholms_lan,2011,114609.90244
stockholms_lan,2012,116261.89098
stockholms_lan,2013,107898.16839
stockholms_lan,2014,110301.12635
stockholms_lan,2015,117863.25778
stockholms_lan,2016,124500.90273
stockholms_lan,2017,134869.2518
stockholms_lan,2018,145982.48998
stockholms_lan,2019,157270.19094
stockholms_lan,2020,
stockholms_lan,2021,
stockholms_lan,2022,
stockholms_lan,2023,
uppsala_lan,2003,
uppsala_lan,2004,
uppsala_lan,2005,
uppsala_lan,2006,
uppsala_lan,2007,
uppsala_lan,2008,18498.38514
uppsala_lan,2009,18630.0156
uppsala_lan,2010,20725.08794
uppsala_lan,2011,20932.213
uppsala_lan,2012,22254.108
uppsala_lan,2013,21902.20842
uppsala_lan,2014,22281.72966
uppsala_lan,2015,23239.10045
uppsala_lan,2016,24538.94779
uppsala_lan,2017,23963.21365
uppsala_lan,2018,25479.82127
uppsala_lan,2019,26976.25653
uppsala_lan,2020,
uppsala_lan,2021,
uppsala_lan,2022,
uppsala_lan,2023,
sodermansland_lan,2003,
sodermansland_lan,2004,
sodermansland_lan,2005,
sodermansland_lan,2006,
sodermansland_lan,2007,
sodermansland_lan,2008,14097.65038
sodermansland_lan,2009,12926.25905
sodermansland_lan,2010,15019.87777
sodermansland_lan,2011,15475.79377
sodermansland_lan,2012,15290.1385
sodermansland_lan,2013,15173.48167
sodermansland_lan,2014,15015.95939
sodermansland_lan,2015,15632.54281
sodermansland_lan,2016,16050.89498
sodermansland_lan,2017,17086.16395
sodermansland_lan,2018,18098.05966
sodermansland_lan,2019,18915.88632
sodermansland_lan,2020,
sodermansland_lan,2021,
sodermansland_lan,2022,
sodermansland_lan,2023,
ostergotlands_lan,2003,
ostergotlands_lan,2004,
ostergotlands_lan,2005,
ostergotlands_lan,2006,
ostergotlands_lan,2007,
ostergotlands_lan,2008,38437.33895
ostergotlands_lan,2009,36023.4027
ostergotlands_lan,2010,38139.03336
ostergotlands_lan,2011,40589.51907
ostergotlands_lan,2012,39449.56402
ostergotlands_lan,2013,38415.54567
ostergotlands_lan,2014,38950.82226
ostergotlands_lan,2015,40999.69198
ostergotlands_lan,2016,42834.40446
ostergotlands_lan,2017,44463.32851
ostergotlands_lan,2018,46471.25772
ostergotlands_lan,2019,47985.17324
ostergotlands_lan,2020,
ostergotlands_lan,2021,
ostergotlands_lan,2022,
ostergotlands_lan,2023,
jonkopings_lan,2003,
jonkopings_lan,2004,
jonkopings_lan,2005,
jonkopings_lan,2006,
jonkopings_lan,2007,
jonkopings_lan,2008,36092.43567
jonkopings_lan,2009,31484.01865
jonkopings_lan,2010,36170.57104
jonkopings_lan,2011,38113.24921
jonkopings_lan,2012,37071.15612
jonkopings_lan,2013,35073.45666
jonkopings_lan,2014,37687.50347
jonkopings_lan,2015,41613.7171
jonkopings_lan,2016,43743.42804
jonkopings_lan,2017,47380.76006
jonkopings_lan,2018,48615.14959
jonkopings_lan,2019,49811.95867
jonkopings_lan,2020,
jonkopings_lan,2021,
jonkopings_lan,2022,
jonkopings_lan,2023,
kronobergs_lan,2003,
kronobergs_lan,2004,
kronobergs_lan,2005,
kronobergs_lan,2006,
kronobergs_lan,2007,
kronobergs_lan,2008,21377.03812
kronobergs_lan,2009,18903.94601
kronobergs_lan,2010,21787.66292
kronobergs_lan,2011,22470.35855
kronobergs_lan,2012,18435.22654
kronobergs_lan,2013,16670.15033
kronobergs_lan,2014,17851.18929
kronobergs_lan,2015,18349.52369
kronobergs_lan,2016,18873.5907
kronobergs_lan,2017,20012.013
kronobergs_lan,2018,21296.62082
kronobergs_lan,2019,22045.55276
kronobergs_lan,2020,
kronobergs_lan,2021,
kronobergs_lan,2022,
kronobergs_lan,2023,
kalmar_lan,2003,
kalmar_lan,2004,
kalmar_lan,2005,
kalmar_lan,2006,
kalmar_lan,2007,
kalmar_lan,2008,28373.71992
kalmar_lan,2009,27327.71949
kalmar_lan,2010,30261.6631
kalmar_lan,2011,31181.47641
kalmar_lan,2012,29808.39977
kalmar_lan,2013,30348.59202
kalmar_lan,2014,33269.95386
kalmar_lan,2015,37383.43795
kalmar_lan,2016,34273.90306
kalmar_lan,2017,37129.32115
kalmar_lan,2018,38650.37994
kalmar_lan,2019,40276.5072
kalmar_lan,2020,
kalmar_lan,2021,
kalmar_lan,2022,
kalmar_lan,2023,
gotlands_lan,2003,
gotlands_lan,2004,
gotlands_lan,2005,
gotlands_lan,2006,
gotlands_lan,2007,
gotlands_lan,2008,4875.9805
gotlands_lan,2009,4812.89732
gotlands_lan,2010,5110.70546
gotlands_lan,2011,5335.79596
gotlands_lan,2012,5248.81048
gotlands_lan,2013,5572.33546
gotlands_lan,2014,5662.48208
gotlands_lan,2015,5525.21526
gotlands_lan,2016,6044.71832
gotlands_lan,2017,6540.86108
gotlands_lan,2018,6825.18713
gotlands_lan,2019,7018.4958
gotlands_lan,2020,
gotlands_lan,2021,
gotlands_lan,2022,
gotlands_lan,2023,
blekinge_lan,2003,
blekinge_lan,2004,
blekinge_lan,2005,
blekinge_lan,2006,
blekinge_lan,2007,
blekinge_lan,2008,17484.08764
blekinge_lan,2009,15849.99143
blekinge_lan,2010,18215.36947
blekinge_lan,2011,18383.66004
blekinge_lan,2012,16384.8732
blekinge_lan,2013,15778.91503
blekinge_lan,2014,16436.05673
blekinge_lan,2015,16954.99514
blekinge_lan,2016,17047.94728
blekinge_lan,2017,19372.08561
blekinge_lan,2018,21242.80243
blekinge_lan,2019,20582.59017
