lan,year,netto_bio_tja
stockholms_lan,2003,
stockholms_lan,2004,
stockholms_lan,2005,
stockholms_lan,2006,
stockholms_lan,2007,
stockholms_lan,2008,3899.199119
stockholms_lan,2009,3906.275937
stockholms_lan,2010,4160.371173
stockholms_lan,2011,4529.305646
stockholms_lan,2012,4705.163169
stockholms_lan,2013,4840.321533
stockholms_lan,2014,4939.695892
stockholms_lan,2015,5312.427849
stockholms_lan,2016,5684.824253
stockholms_lan,2017,6039.247476
stockholms_lan,2018,6362.006849
stockholms_lan,2019,6264.708051
stockholms_lan,2020,
stockholms_lan,2021,
stockholms_lan,2022,
stockholms_lan,2023,
uppsala_lan,2003,
uppsala_lan,2004,
uppsala_lan,2005,
uppsala_lan,2006,
uppsala_lan,2007,
uppsala_lan,2008,192.425435
uppsala_lan,2009,187.235533
uppsala_lan,2010,197.431568
uppsala_lan,2011,215.388096
uppsala_lan,2012,219.288277
uppsala_lan,2013,233.031915
uppsala_lan,2014,240.748719
uppsala_lan,2015,273.430989
uppsala_lan,2016,297.781092
uppsala_lan,2017,320.912801
uppsala_lan,2018,369.784741
uppsala_lan,2019,400.828353
uppsala_lan,2020,
uppsala_lan,2021,
uppsala_lan,2022,
uppsala_lan,2023,
sodermansland_lan,2003,
sodermansland_lan,2004,
sodermansland_lan,2005,
sodermansland_lan,2006,
sodermansland_lan,2007,
sodermansland_lan,2008,117.267915
sodermansland_lan,2009,115.743142
sodermansland_lan,2010,138.27605
sodermansland_lan,2011,154.141624
sodermansland_lan,2012,157.045496
sodermansland_lan,2013,159.694898
sodermansland_lan,2014,164.019514
sodermansland_lan,2015,179.366517
sodermansland_lan,2016,184.657408
sodermansland_lan,2017,193.737549
sodermansland_lan,2018,198.252045
sodermansland_lan,2019,187.518351
sodermansland_lan,2020,
sodermansland_lan,2021,
sodermansland_lan,2022,
sodermansland_lan,2023,
ostergotlands_lan,2003,
ostergotlands_lan,2004,
ostergotlands_lan,2005,
ostergotlands_lan,2006,
ostergotlands_lan,2007,
ostergotlands_lan,2008,298.727904
ostergotlands_lan,2009,290.727535
ostergotlands_lan,2010,325.417012
ostergotlands_lan,2011,340.972616
ostergotlands_lan,2012,347.674813
ostergotlands_lan,2013,352.945978
ostergotlands_lan,2014,365.488076
ostergotlands_lan,2015,411.075579
ostergotlands_lan,2016,450.599998
ostergotlands_lan,2017,475.07749
ostergotlands_lan,2018,495.51333
ostergotlands_lan,2019,515.482957
ostergotlands_lan,2020,
ostergotlands_lan,2021,
ostergotlands_lan,2022,
ostergotlands_lan,2023,
jonkopings_lan,2003,
jonkopings_lan,2004,
jonkopings_lan,2005,
jonkopings_lan,2006,
jonkopings_lan,2007,
jonkopings_lan,2008,173.392819
jonkopings_lan,2009,156.553902
jonkopings_lan,2010,165.649268
jonkopings_lan,2011,185.805516
jonkopings_lan,2012,186.166963
jonkopings_lan,2013,194.622839
jonkopings_lan,2014,209.345152
jonkopings_lan,2015,226.141674
jonkopings_lan,2016,250.099082
jonkopings_lan,2017,275.389566
jonkopings_lan,2018,299.113849
jonkopings_lan,2019,309.131725
jonkopings_lan,2020,
jonkopings_lan,2021,
jonkopings_lan,2022,
jonkopings_lan,2023,
kronobergs_lan,2003,
kronobergs_lan,2004,
kronobergs_lan,2005,
kronobergs_lan,2006,
kronobergs_lan,2007,
kronobergs_lan,2008,93.439122
kronobergs_lan,2009,83.434348
kronobergs_lan,2010,87.019948
kronobergs_lan,2011,91.824594
kronobergs_lan,2012,93.317329
kronobergs_lan,2013,99.927203
kronobergs_lan,2014,106.18539
kronobergs_lan,2015,118.28914
kronobergs_lan,2016,125.974491
kronobergs_lan,2017,121.546116
kronobergs_lan,2018,133.790064
kronobergs_lan,2019,138.04639
kronobergs_lan,2020,
kronobergs_lan,2021,
kronobergs_lan,2022,
kronobergs_lan,2023,
kalmar_lan,2003,
kalmar_lan,2004,
kalmar_lan,2005,
kalmar_lan,2006,
kalmar_lan,2007,
kalmar_lan,2008,115.527668
kalmar_lan,2009,112.825082
kalmar_lan,2010,117.361678
kalmar_lan,2011,117.517159
kalmar_lan,2012,119.884349
kalmar_lan,2013,123.28633
kalmar_lan,2014,141.106362
kalmar_lan,2015,148.397417
kalmar_lan,2016,160.078605
kalmar_lan,2017,166.543888
kalmar_lan,2018,177.492489
kalmar_lan,2019,173.034786
kalmar_lan,2020,
kalmar_lan,2021,
kalmar_lan,2022,
kalmar_lan,2023,
gotlands_lan,2003,
gotlands_lan,2004,
gotlands_lan,2005,
gotlands_lan,2006,
gotlands_lan,2007,
gotlands_lan,2008,221.028286
gotlands_lan,2009,216.613532
gotlands_lan,2010,243.216092
gotlands_lan,2011,264.992192
gotlands_lan,2012,273.559118
gotlands_lan,2013,268.266554
gotlands_lan,2014,250.393803
gotlands_lan,2015,255.45889
gotlands_lan,2016,272.445834
gotlands_lan,2017,274.533687
gotlands_lan,2018,275.094877
gotlands_lan,2019,248.680468
gotlands_lan,2020,
gotlands_lan,2021,
gotlands_lan,2022,
gotlands_lan,2023,
blekinge_lan,2003,
blekinge_lan,2004,
blekinge_lan,2005,
blekinge_lan,2006,
blekinge_lan,2007,
blekinge_lan,2008,72.484695
blekinge_lan,2009,67.337512
blekinge_lan,2010,73.453423
blekinge_lan,2011,81.966302
blekinge_lan,2012,80.762073
blekinge_lan,2013,81.798551
blekinge_lan,2014,78.779752
blekinge_lan,2015,91.830796
blekinge_lan,2016,95.295186
blekinge_lan,2017,103.402494
blekinge_lan,2018,114.316859
blekinge_lan,2019,114.855695
blekinge_lan,2020,
blekinge_lan,2021,
blekinge_lan,2022,
blekinge_lan,2023,
skane_lan,2003,
skane_lan,2004,
skane_lan,2005,
skane_lan,2006,
