lan,year,netto_lan
stockholms_lan,2003,
stockholms_lan,2004,
stockholms_lan,2005,
stockholms_lan,2006,
stockholms_lan,2007,
stockholms_lan,2008,2003049.782
stockholms_lan,2009,1927349.004
stockholms_lan,2010,2015739.362
stockholms_lan,2011,2138319.706
stockholms_lan,2012,2156025.915
stockholms_lan,2013,2171768.451
stockholms_lan,2014,2274043.615
stockholms_lan,2015,2455269.124
stockholms_lan,2016,2576969.29
stockholms_lan,2017,2786751.007
stockholms_lan,2018,3015945.856
stockholms_lan,2019,3174491.928
stockholms_lan,2020,
stockholms_lan,2021,
stockholms_lan,2022,
stockholms_lan,2023,
uppsala_lan,2003,
uppsala_lan,2004,
uppsala_lan,2005,
uppsala_lan,2006,
uppsala_lan,2007,
uppsala_lan,2008,145898.931
uppsala_lan,2009,140860.786
uppsala_lan,2010,149061.936
uppsala_lan,2011,160297.545
uppsala_lan,2012,166377.438
uppsala_lan,2013,170281.612
uppsala_lan,2014,178704.438
uppsala_lan,2015,189941.627
uppsala_lan,2016,201015.029
uppsala_lan,2017,205279.848
uppsala_lan,2018,219945.804
uppsala_lan,2019,230554.086
uppsala_lan,2020,
uppsala_lan,2021,
uppsala_lan,2022,
uppsala_lan,2023,
sodermansland_lan,2003,
sodermansland_lan,2004,
sodermansland_lan,2005,
sodermansland_lan,2006,
sodermansland_lan,2007,
sodermansland_lan,2008,143502.805
sodermansland_lan,2009,123605.149
sodermansland_lan,2010,140439.763
sodermansland_lan,2011,150626.193
sodermansland_lan,2012,147776.949
sodermansland_lan,2013,144742.12
sodermansland_lan,2014,146492.48
sodermansland_lan,2015,150225.518
sodermansland_lan,2016,153508.728
sodermansland_lan,2017,163428.033
sodermansland_lan,2018,176638.886
sodermansland_lan,2019,182746.766
sodermansland_lan,2020,
sodermansland_lan,2021,
sodermansland_lan,2022,
sodermansland_lan,2023,
ostergotlands_lan,2003,
ostergotlands_lan,2004,
ostergotlands_lan,2005,
ostergotlands_lan,2006,
ostergotlands_lan,2007,
ostergotlands_lan,2008,254400.238
ostergotlands_lan,2009,238077.781
ostergotlands_lan,2010,249849.477
ostergotlands_lan,2011,263994.217
ostergotlands_lan,2012,265942.508
ostergotlands_lan,2013,264892.751
ostergotlands_lan,2014,268798.019
ostergotlands_lan,2015,288828.832
ostergotlands_lan,2016,295265.97
ostergotlands_lan,2017,308117.677
ostergotlands_lan,2018,325703.299
ostergotlands_lan,2019,341071.682
ostergotlands_lan,2020,
ostergotlands_lan,2021,
ostergotlands_lan,2022,
ostergotlands_lan,2023,
jonkopings_lan,2003,
jonkopings_lan,2004,
jonkopings_lan,2005,
jonkopings_lan,2006,
jonkopings_lan,2007,
jonkopings_lan,2008,226896.991
jonkopings_lan,2009,204810.413
jonkopings_lan,2010,221688.659
jonkopings_lan,2011,235593.836
jonkopings_lan,2012,231794.481
jonkopings_lan,2013,226517.476
jonkopings_lan,2014,234231.519
jonkopings_lan,2015,250938.201
jonkopings_lan,2016,263795.159
jonkopings_lan,2017,280094.139
jonkopings_lan,2018,298853.306
jonkopings_lan,2019,305502.376
jonkopings_lan,2020,
jonkopings_lan,2021,
jonkopings_lan,2022,
jonkopings_lan,2023,
kronobergs_lan,2003,
kronobergs_lan,2004,
kronobergs_lan,2005,
kronobergs_lan,2006,
kronobergs_lan,2007,
kronobergs_lan,2008,141024.378
kronobergs_lan,2009,116604.036
kronobergs_lan,2010,124413.219
kronobergs_lan,2011,133427.632
kronobergs_lan,2012,132873.327
kronobergs_lan,2013,130919.591
kronobergs_lan,2014,132623.701
kronobergs_lan,2015,143512.868
kronobergs_lan,2016,152105.865
kronobergs_lan,2017,165308.461
kronobergs_lan,2018,179115.489
kronobergs_lan,2019,186213.688
kronobergs_lan,2020,
kronobergs_lan,2021,
kronobergs_lan,2022,
kronobergs_lan,2023,
kalmar_lan,2003,
kalmar_lan,2004,
kalmar_lan,2005,
kalmar_lan,2006,
kalmar_lan,2007,
kalmar_lan,2008,125926.762
kalmar_lan,2009,116111.154
kalmar_lan,2010,125282.105
kalmar_lan,2011,131169.657
kalmar_lan,2012,129769.393
kalmar_lan,2013,128578.298
kalmar_lan,2014,132767.051
kalmar_lan,2015,152740.967
kalmar_lan,2016,140541.367
kalmar_lan,2017,149015.388
kalmar_lan,2018,156335.937
kalmar_lan,2019,161956.052
kalmar_lan,2020,
kalmar_lan,2021,
kalmar_lan,2022,
kalmar_lan,2023,
gotlands_lan,2003,
gotlands_lan,2004,
gotlands_lan,2005,
gotlands_lan,2006,
gotlands_lan,2007,
gotlands_lan,2008,31039.63
gotlands_lan,2009,30715.293
gotlands_lan,2010,33068.418
gotlands_lan,2011,35758.733
gotlands_lan,2012,36194.215
gotlands_lan,2013,35978.515
gotlands_lan,2014,35611.62
gotlands_lan,2015,36039.369
gotlands_lan,2016,38523.765
gotlands_lan,2017,40912.994
gotlands_lan,2018,41335.27
gotlands_lan,2019,40399.105
gotlands_lan,2020,
gotlands_lan,2021,
gotlands_lan,2022,
gotlands_lan,2023,
blekinge_lan,2003,
blekinge_lan,2004,
blekinge_lan,2005,
blekinge_lan,2006,
blekinge_lan,2007,
blekinge_lan,2008,85080.233
blekinge_lan,2009,77450.089
blekinge_lan,2010,85198.87
blekinge_lan,2011,87161.617
blekinge_lan,2012,84088.261
blekinge_lan,2013,83085.544
blekinge_lan,2014,84192.194
blekinge_lan,2015,89678.992
blekinge_lan,2016,91650.475
blekinge_lan,2017,101341.993
blekinge_lan,2018,106389.803
blekinge_lan,2019,101635.371
blekinge_lan,2020,
blekinge_lan,2021,
blekinge_lan,2022,
blekinge_lan,2023,
skane_lan,2003,
skane_lan,2004,
skane_lan,2005,
skane_lan,2006,
skane_lan,2007,
